Mês/Ano,Região,Estado,Produção Etanol Hidratado(m³),Produção Etanol Anidro (m³)
11/2024,CENTRO OESTE,Goiás,262397,84200
11/2024,CENTRO OESTE,Mato Grosso,356130,183668
11/2024,CENTRO OESTE,Mato Grosso do Sul,228501,121155
11/2024,NORDESTE,Alagoas,41219,33453
11/2024,NORDESTE,Bahia,24143,11002
11/2024,NORDESTE,Maranhão,1726,13166
11/2024,NORDESTE,Paraíba,24493,30465
11/2024,NORDESTE,Pernambuco,39005,16900
11/2024,NORDESTE,Piauí,1991,108
11/2024,NORDESTE,Rio Grande do Norte,23192,146
11/2024,NORDESTE,Sergipe,8916,3294
11/2024,NORTE,Amazonas,2321,
11/2024,NORTE,Pará,4187,4758
11/2024,NORTE,Tocantins,7675,5030
11/2024,SUDESTE,Espírito Santo,348,3592
11/2024,SUDESTE,Minas Gerais,129900,80897
11/2024,SUDESTE,Rio de Janeiro,155,
11/2024,SUDESTE,São Paulo,530139,258371
11/2024,SUL,Paraná,29557,14502
11/2024,SUL,Rio Grande do Sul,0,
10/2024,CENTRO OESTE,Goiás,427136,152292
10/2024,CENTRO OESTE,Mato Grosso,436541,218107
10/2024,CENTRO OESTE,Mato Grosso do Sul,291083,113328
10/2024,NORDESTE,Alagoas,44790,29440
10/2024,NORDESTE,Bahia,28603,16205
10/2024,NORDESTE,Maranhão,4458,19032
10/2024,NORDESTE,Paraíba,36088,21135
10/2024,NORDESTE,Pernambuco,41103,6764
10/2024,NORDESTE,Piauí,4163,2827
10/2024,NORDESTE,Rio Grande do Norte,23331,3712
10/2024,NORDESTE,Sergipe,10100,2939
10/2024,NORTE,Amazonas,2127,
10/2024,NORTE,Pará,2124,7486
10/2024,NORTE,Tocantins,9370,11590
10/2024,SUDESTE,Espírito Santo,3853,5918
10/2024,SUDESTE,Minas Gerais,239894,128430
10/2024,SUDESTE,Rio de Janeiro,7844,
10/2024,SUDESTE,São Paulo,961952,591236
10/2024,SUL,Paraná,58642,62560
10/2024,SUL,Rio Grande do Sul,1,
09/2024,CENTRO OESTE,Goiás,636887,197769
09/2024,CENTRO OESTE,Mato Grosso,456151,224234
09/2024,CENTRO OESTE,Mato Grosso do Sul,301614,120761
09/2024,NORDESTE,Alagoas,36138,11887
09/2024,NORDESTE,Bahia,39594,16022
09/2024,NORDESTE,Maranhão,7571,24629
09/2024,NORDESTE,Paraíba,40768,19404
09/2024,NORDESTE,Pernambuco,37548,1163
09/2024,NORDESTE,Piauí,2520,4404
09/2024,NORDESTE,Rio Grande do Norte,19457,3312
09/2024,NORDESTE,Sergipe,4468,
09/2024,NORTE,Amazonas,1842,
09/2024,NORTE,Pará,1837,7419
09/2024,NORTE,Tocantins,10929,20828
09/2024,SUDESTE,Espírito Santo,3229,10813
09/2024,SUDESTE,Minas Gerais,344279,177193
09/2024,SUDESTE,Rio de Janeiro,17556,
09/2024,SUDESTE,São Paulo,1288024,778122
09/2024,SUL,Paraná,67808,75073
09/2024,SUL,Rio Grande do Sul,3,
08/2024,CENTRO OESTE,Goiás,667971,211739
08/2024,CENTRO OESTE,Mato Grosso,453325,239707
08/2024,CENTRO OESTE,Mato Grosso do Sul,362916,139339
08/2024,NORDESTE,Alagoas,901,
08/2024,NORDESTE,Bahia,37855,11384
08/2024,NORDESTE,Maranhão,8342,26787
08/2024,NORDESTE,Paraíba,29691,15203
08/2024,NORDESTE,Pernambuco,9390,
08/2024,NORDESTE,Piauí,5123,1377
08/2024,NORDESTE,Rio Grande do Norte,8704,
08/2024,NORTE,Amazonas,936,
08/2024,NORTE,Pará,1900,6996
08/2024,NORTE,Tocantins,18725,12413
08/2024,SUDESTE,Espírito Santo,4981,11167
08/2024,SUDESTE,Minas Gerais,347605,179897
08/2024,SUDESTE,Rio de Janeiro,25387,
08/2024,SUDESTE,São Paulo,1223075,793088
08/2024,SUL,Paraná,72085,93452
08/2024,SUL,Rio Grande do Sul,2,
07/2024,CENTRO OESTE,Goiás,650036,211844
07/2024,CENTRO OESTE,Mato Grosso,446125,222436
07/2024,CENTRO OESTE,Mato Grosso do Sul,317508,137649
07/2024,NORDESTE,Bahia,39804,14723
07/2024,NORDESTE,Maranhão,4046,28312
07/2024,NORDESTE,Paraíba,5217,
07/2024,NORDESTE,Piauí,8017,
07/2024,NORDESTE,Rio Grande do Norte,95,
07/2024,NORTE,Pará,2788,5468
07/2024,NORTE,Tocantins,11478,21101
07/2024,SUDESTE,Espírito Santo,3428,9561
07/2024,SUDESTE,Minas Gerais,340811,191153
07/2024,SUDESTE,Rio de Janeiro,27151,
07/2024,SUDESTE,São Paulo,1133345,894196
07/2024,SUL,Paraná,75090,78871
07/2024,SUL,Rio Grande do Sul,4,
06/2024,CENTRO OESTE,Goiás,601913,192641
06/2024,CENTRO OESTE,Mato Grosso,405232,201175
06/2024,CENTRO OESTE,Mato Grosso do Sul,352175,164943
06/2024,NORDESTE,Bahia,30122,12935
06/2024,NORDESTE,Maranhão,3561,20466
06/2024,NORDESTE,Piauí,1127,
06/2024,NORTE,Pará,1017,5274
06/2024,NORTE,Tocantins,8270,12675
06/2024,SUDESTE,Espírito Santo,558,11403
06/2024,SUDESTE,Minas Gerais,289704,199379
06/2024,SUDESTE,Rio de Janeiro,21183,
06/2024,SUDESTE,São Paulo,1113653,891290
06/2024,SUL,Paraná,81640,102766
06/2024,SUL,Rio Grande do Sul,1,
05/2024,CENTRO OESTE,Goiás,545869,160274
05/2024,CENTRO OESTE,Mato Grosso,378314,196180
05/2024,CENTRO OESTE,Mato Grosso do Sul,315701,123516
05/2024,NORDESTE,Bahia,32189,6439
05/2024,NORDESTE,Maranhão,78,1441
05/2024,NORDESTE,Paraíba,5585,
05/2024,NORDESTE,Pernambuco,,913
05/2024,NORTE,Pará,1043,59
05/2024,NORTE,Tocantins,11850,10506
05/2024,SUDESTE,Espírito Santo,1697,9230
05/2024,SUDESTE,Minas Gerais,255497,173870
05/2024,SUDESTE,Rio de Janeiro,6594,
05/2024,SUDESTE,São Paulo,1038979,796058
05/2024,SUL,Paraná,74024,81457
04/2024,CENTRO OESTE,Goiás,217488,48314
04/2024,CENTRO OESTE,Mato Grosso,315300,107082
04/2024,CENTRO OESTE,Mato Grosso do Sul,257617,48233
04/2024,NORDESTE,Alagoas,5466,19
04/2024,NORDESTE,Bahia,9474,777
04/2024,NORDESTE,Paraíba,10756,1242
04/2024,NORDESTE,Pernambuco,11924,2265
04/2024,NORTE,Tocantins,12582,
04/2024,SUDESTE,Espírito Santo,648,
04/2024,SUDESTE,Minas Gerais,173781,49860
04/2024,SUDESTE,São Paulo,711269,310198
04/2024,SUL,Paraná,70187,51333
03/2024,CENTRO OESTE,Goiás,54062,4492
03/2024,CENTRO OESTE,Mato Grosso,316941,95326
03/2024,CENTRO OESTE,Mato Grosso do Sul,137632,49836
03/2024,NORDESTE,Alagoas,22197,21226
03/2024,NORDESTE,Paraíba,7392,10068
03/2024,NORDESTE,Pernambuco,21109,3936
03/2024,NORDESTE,Rio Grande do Norte,4915,
03/2024,NORDESTE,Sergipe,5137,845
03/2024,SUDESTE,Minas Gerais,12874,1042
03/2024,SUDESTE,São Paulo,112962,56682
03/2024,SUL,Paraná,33056,4948
03/2024,SUL,Rio Grande do Sul,1,
02/2024,CENTRO OESTE,Goiás,45047,15866
02/2024,CENTRO OESTE,Mato Grosso,269709,117749
02/2024,CENTRO OESTE,Mato Grosso do Sul,70727,48473
02/2024,NORDESTE,Alagoas,33555,31920
02/2024,NORDESTE,Paraíba,8493,12682
02/2024,NORDESTE,Pernambuco,22574,9475
02/2024,NORDESTE,Rio Grande do Norte,14035,607
02/2024,NORDESTE,Sergipe,6825,2851
02/2024,SUDESTE,Minas Gerais,934,
02/2024,SUDESTE,São Paulo,17071,14556
02/2024,SUL,Rio Grande do Sul,1,
01/2024,CENTRO OESTE,Goiás,50261,13162
01/2024,CENTRO OESTE,Mato Grosso,261626,146624
01/2024,CENTRO OESTE,Mato Grosso do Sul,62710,65062
01/2024,NORDESTE,Alagoas,43526,34903
01/2024,NORDESTE,Paraíba,16255,29393
01/2024,NORDESTE,Pernambuco,18586,18982
01/2024,NORDESTE,Rio Grande do Norte,13236,2387
01/2024,NORDESTE,Sergipe,10769,3205
01/2024,NORTE,Pará,,3351
01/2024,SUDESTE,Minas Gerais,1325,
01/2024,SUDESTE,São Paulo,22099,27019
01/2024,SUL,Paraná,100,3840
01/2024,SUL,Rio Grande do Sul,1,
12/2023,CENTRO OESTE,Goiás,146132,44240
12/2023,CENTRO OESTE,Mato Grosso,330355,81197
12/2023,CENTRO OESTE,Mato Grosso do Sul,134471,81209
12/2023,NORDESTE,Alagoas,40226,40121
12/2023,NORDESTE,Bahia,5990,2440
12/2023,NORDESTE,Paraíba,26393,27642
12/2023,NORDESTE,Pernambuco,24624,22868
12/2023,NORDESTE,Rio Grande do Norte,13113,5709
12/2023,NORDESTE,Sergipe,9909,3698
12/2023,NORTE,Pará,,6776
12/2023,SUDESTE,Espírito Santo,3,2437
12/2023,SUDESTE,Minas Gerais,63976,23715
12/2023,SUDESTE,São Paulo,426861,223407
12/2023,SUL,Paraná,24713,13047
12/2023,SUL,Rio Grande do Sul,1,
11/2023,CENTRO OESTE,Goiás,306873,96747
11/2023,CENTRO OESTE,Mato Grosso,305546,123933
11/2023,CENTRO OESTE,Mato Grosso do Sul,220769,93924
11/2023,NORDESTE,Alagoas,41025,33998
11/2023,NORDESTE,Bahia,26851,11904
11/2023,NORDESTE,Maranhão,148,5695
11/2023,NORDESTE,Paraíba,24970,33938
11/2023,NORDESTE,Pernambuco,29254,20762
11/2023,NORDESTE,Piauí,1100,6081
11/2023,NORDESTE,Rio Grande do Norte,15004,7484
11/2023,NORDESTE,Sergipe,10128,3163
11/2023,NORTE,Amazonas,1708,
11/2023,NORTE,Pará,3076,4045
11/2023,NORTE,Tocantins,1752,2582
11/2023,SUDESTE,Espírito Santo,3166,4846
11/2023,SUDESTE,Minas Gerais,166946,110086
11/2023,SUDESTE,Rio de Janeiro,3200,
11/2023,SUDESTE,São Paulo,792974,579515
11/2023,SUL,Paraná,50426,39890
11/2023,SUL,Rio Grande do Sul,2,
10/2023,CENTRO OESTE,Goiás,477040,142712
10/2023,CENTRO OESTE,Mato Grosso,367563,190928
10/2023,CENTRO OESTE,Mato Grosso do Sul,249647,141428
10/2023,NORDESTE,Alagoas,31365,39447
10/2023,NORDESTE,Bahia,36817,19291
10/2023,NORDESTE,Maranhão,3514,18566
10/2023,NORDESTE,Paraíba,17888,39566
10/2023,NORDESTE,Pernambuco,23080,23849
10/2023,NORDESTE,Piauí,1221,7364
10/2023,NORDESTE,Rio Grande do Norte,14359,8332
10/2023,NORDESTE,Sergipe,8538,3059
10/2023,NORTE,Amazonas,2628,
10/2023,NORTE,Pará,2555,2817
10/2023,NORTE,Tocantins,10079,12997
10/2023,SUDESTE,Espírito Santo,998,9341
10/2023,SUDESTE,Minas Gerais,221150,163074
10/2023,SUDESTE,Rio de Janeiro,7314,
10/2023,SUDESTE,São Paulo,833425,656096
10/2023,SUL,Paraná,64887,60369
10/2023,SUL,Rio Grande do Sul,3,
09/2023,CENTRO OESTE,Goiás,612648,169834
09/2023,CENTRO OESTE,Mato Grosso,331767,229349
09/2023,CENTRO OESTE,Mato Grosso do Sul,321685,117070
09/2023,NORDESTE,Alagoas,20321,8161
09/2023,NORDESTE,Bahia,32744,18945
09/2023,NORDESTE,Maranhão,6638,27077
09/2023,NORDESTE,Paraíba,18125,35077
09/2023,NORDESTE,Pernambuco,14714,9007
09/2023,NORDESTE,Piauí,2239,7085
09/2023,NORDESTE,Rio Grande do Norte,10066,7809
09/2023,NORDESTE,Sergipe,3740,186
09/2023,NORTE,Amazonas,1465,
09/2023,NORTE,Pará,2579,4502
09/2023,NORTE,Tocantins,9287,18065
09/2023,SUDESTE,Espírito Santo,732,10654
09/2023,SUDESTE,Minas Gerais,291077,182137
09/2023,SUDESTE,Rio de Janeiro,14559,
09/2023,SUDESTE,São Paulo,1085232,847921
09/2023,SUL,Paraná,63071,97578
09/2023,SUL,Rio Grande do Sul,3,
08/2023,CENTRO OESTE,Goiás,665496,167493
08/2023,CENTRO OESTE,Mato Grosso,345249,227672
08/2023,CENTRO OESTE,Mato Grosso do Sul,378912,119057
08/2023,NORDESTE,Alagoas,855,
08/2023,NORDESTE,Bahia,32894,22560
08/2023,NORDESTE,Maranhão,6067,28060
08/2023,NORDESTE,Paraíba,15038,28780
08/2023,NORDESTE,Pernambuco,6230,353
08/2023,NORDESTE,Piauí,2945,7167
08/2023,NORDESTE,Rio Grande do Norte,6011,5877
08/2023,NORTE,Amazonas,1004,
08/2023,NORTE,Pará,2317,7117
08/2023,NORTE,Tocantins,13317,18165
08/2023,SUDESTE,Espírito Santo,1285,11111
08/2023,SUDESTE,Minas Gerais,303829,207886
08/2023,SUDESTE,Rio de Janeiro,19136,
08/2023,SUDESTE,São Paulo,1149446,909450
08/2023,SUL,Paraná,63437,113819
08/2023,SUL,Rio Grande do Sul,2,
07/2023,CENTRO OESTE,Goiás,658603,204608
07/2023,CENTRO OESTE,Mato Grosso,326237,253123
07/2023,CENTRO OESTE,Mato Grosso do Sul,376958,147575
07/2023,NORDESTE,Bahia,28224,25163
07/2023,NORDESTE,Maranhão,5522,27427
07/2023,NORDESTE,Paraíba,5192,627
07/2023,NORDESTE,Piauí,5245,4603
07/2023,NORTE,Pará,1886,7506
07/2023,NORTE,Tocantins,13061,18646
07/2023,SUDESTE,Espírito Santo,1385,10841
07/2023,SUDESTE,Minas Gerais,308189,205967
07/2023,SUDESTE,Rio de Janeiro,19991,
07/2023,SUDESTE,São Paulo,1088325,946078
07/2023,SUL,Paraná,72780,121228
07/2023,SUL,Rio Grande do Sul,3,
06/2023,CENTRO OESTE,Goiás,523622,206200
06/2023,CENTRO OESTE,Mato Grosso,322690,219175
06/2023,CENTRO OESTE,Mato Grosso do Sul,243159,167188
06/2023,NORDESTE,Bahia,29577,23820
06/2023,NORDESTE,Maranhão,1808,21360
06/2023,NORDESTE,Piauí,1567,541
06/2023,NORTE,Pará,2435,5699
06/2023,NORTE,Tocantins,9255,14878
06/2023,SUDESTE,Espírito Santo,1188,12737
06/2023,SUDESTE,Minas Gerais,241665,201894
06/2023,SUDESTE,Rio de Janeiro,7506,
06/2023,SUDESTE,São Paulo,798927,770571
06/2023,SUL,Paraná,58094,96618
06/2023,SUL,Rio Grande do Sul,0,
05/2023,CENTRO OESTE,Goiás,497053,157108
05/2023,CENTRO OESTE,Mato Grosso,328143,194021
05/2023,CENTRO OESTE,Mato Grosso do Sul,281040,166670
05/2023,NORDESTE,Alagoas,14882,6303
05/2023,NORDESTE,Bahia,24664,15492
05/2023,NORDESTE,Maranhão,6,8447
05/2023,NORDESTE,Paraíba,1762,432
05/2023,NORDESTE,Pernambuco,427,2143
05/2023,NORDESTE,Sergipe,452,
05/2023,NORTE,Pará,684,143
05/2023,NORTE,Tocantins,9245,16567
05/2023,SUDESTE,Espírito Santo,1869,9319
05/2023,SUDESTE,Minas Gerais,244869,179264
05/2023,SUDESTE,Rio de Janeiro,3590,
05/2023,SUDESTE,São Paulo,963800,896228
05/2023,SUL,Paraná,71932,100365
04/2023,CENTRO OESTE,Goiás,194057,57769
04/2023,CENTRO OESTE,Mato Grosso,264346,112920
04/2023,CENTRO OESTE,Mato Grosso do Sul,175146,68368
04/2023,NORDESTE,Alagoas,24475,22350
04/2023,NORDESTE,Bahia,17550,5350
04/2023,NORDESTE,Maranhão,,353
04/2023,NORDESTE,Paraíba,6737,6904
04/2023,NORDESTE,Pernambuco,9882,6181
04/2023,NORDESTE,Sergipe,6588,620
04/2023,NORTE,Tocantins,14609,6134
04/2023,SUDESTE,Espírito Santo,244,6032
04/2023,SUDESTE,Minas Gerais,118802,49951
04/2023,SUDESTE,São Paulo,417878,253671
04/2023,SUL,Paraná,44469,50767
03/2023,CENTRO OESTE,Goiás,57301,15474
03/2023,CENTRO OESTE,Mato Grosso,204355,116795
03/2023,CENTRO OESTE,Mato Grosso do Sul,75450,59056
03/2023,NORDESTE,Alagoas,24125,35963
03/2023,NORDESTE,Bahia,609,
03/2023,NORDESTE,Paraíba,14007,15606
03/2023,NORDESTE,Pernambuco,16889,23412
03/2023,NORDESTE,Rio Grande do Norte,4764,3131
03/2023,NORDESTE,Sergipe,9755,2720
03/2023,NORTE,Tocantins,4070,
03/2023,SUDESTE,Minas Gerais,10450,6066
03/2023,SUDESTE,São Paulo,81070,18866
03/2023,SUL,Paraná,4886,10692
03/2023,SUL,Rio Grande do Sul,3,
02/2023,CENTRO OESTE,Goiás,19756,4132
02/2023,CENTRO OESTE,Mato Grosso,149387,108966
02/2023,CENTRO OESTE,Mato Grosso do Sul,40606,35431
02/2023,NORDESTE,Alagoas,25590,36135
02/2023,NORDESTE,Bahia,500,
02/2023,NORDESTE,Paraíba,13182,31402
02/2023,NORDESTE,Pernambuco,20241,20274
02/2023,NORDESTE,Rio Grande do Norte,8698,6537
02/2023,NORDESTE,Sergipe,10875,2844
02/2023,SUDESTE,Minas Gerais,3046,
02/2023,SUDESTE,São Paulo,1524,3030
02/2023,SUL,Paraná,,4081
02/2023,SUL,Rio Grande do Sul,2,
01/2023,CENTRO OESTE,Goiás,33068,5448
01/2023,CENTRO OESTE,Mato Grosso,144904,124028
01/2023,CENTRO OESTE,Mato Grosso do Sul,49039,63891
01/2023,NORDESTE,Alagoas,25470,40986
01/2023,NORDESTE,Bahia,422,
01/2023,NORDESTE,Paraíba,10669,45353
01/2023,NORDESTE,Pernambuco,19960,31874
01/2023,NORDESTE,Rio Grande do Norte,12943,8440
01/2023,NORDESTE,Sergipe,11322,3292
01/2023,SUDESTE,Minas Gerais,664,
01/2023,SUDESTE,São Paulo,5121,3283
01/2023,SUL,Paraná,409,3663
01/2023,SUL,Rio Grande do Sul,1,
12/2022,CENTRO OESTE,Goiás,53960,3952
12/2022,CENTRO OESTE,Mato Grosso,172272,137742
12/2022,CENTRO OESTE,Mato Grosso do Sul,100734,118772
12/2022,NORDESTE,Alagoas,27381,32527
12/2022,NORDESTE,Bahia,4107,5208
12/2022,NORDESTE,Paraíba,19421,47411
12/2022,NORDESTE,Pernambuco,23450,32296
12/2022,NORDESTE,Piauí,2520,
12/2022,NORDESTE,Rio Grande do Norte,14989,6560
12/2022,NORDESTE,Sergipe,14237,2400
12/2022,SUDESTE,Minas Gerais,15653,11176
12/2022,SUDESTE,São Paulo,100966,38785
12/2022,SUL,Paraná,31137,38452
12/2022,SUL,Rio Grande do Sul,2,
11/2022,CENTRO OESTE,Goiás,218996,53234
11/2022,CENTRO OESTE,Mato Grosso,194552,125359
11/2022,CENTRO OESTE,Mato Grosso do Sul,176793,163492
11/2022,NORDESTE,Alagoas,27182,32065
11/2022,NORDESTE,Bahia,17019,10530
11/2022,NORDESTE,Maranhão,5,4168
11/2022,NORDESTE,Paraíba,27097,36932
11/2022,NORDESTE,Pernambuco,19506,29346
11/2022,NORDESTE,Piauí,4702,2334
11/2022,NORDESTE,Rio Grande do Norte,14856,5726
11/2022,NORDESTE,Sergipe,10802,3152
11/2022,NORTE,Amazonas,578,
11/2022,NORTE,Pará,1626,5652
11/2022,NORTE,Tocantins,9855,3943
11/2022,SUDESTE,Espírito Santo,54,2610
11/2022,SUDESTE,Minas Gerais,75920,86404
11/2022,SUDESTE,São Paulo,486635,460012
11/2022,SUL,Paraná,58195,94274
11/2022,SUL,Rio Grande do Sul,2,
10/2022,CENTRO OESTE,Goiás,408739,108447
10/2022,CENTRO OESTE,Mato Grosso,229892,174639
10/2022,CENTRO OESTE,Mato Grosso do Sul,161740,136663
10/2022,NORDESTE,Alagoas,31702,33969
10/2022,NORDESTE,Bahia,34062,21248
10/2022,NORDESTE,Maranhão,1997,22800
10/2022,NORDESTE,Paraíba,23438,40723
10/2022,NORDESTE,Pernambuco,17390,32536
10/2022,NORDESTE,Piauí,957,6986
10/2022,NORDESTE,Rio Grande do Norte,11458,6882
10/2022,NORDESTE,Sergipe,10508,3168
10/2022,NORTE,Amazonas,2127,
10/2022,NORTE,Pará,1989,7619
10/2022,NORTE,Tocantins,11956,16610
10/2022,SUDESTE,Espírito Santo,1636,7469
10/2022,SUDESTE,Minas Gerais,134844,154843
10/2022,SUDESTE,Rio de Janeiro,2989,
10/2022,SUDESTE,São Paulo,659019,723883
10/2022,SUL,Paraná,46140,60792
10/2022,SUL,Rio Grande do Sul,2,
09/2022,CENTRO OESTE,Goiás,580228,142077
09/2022,CENTRO OESTE,Mato Grosso,275380,174211
09/2022,CENTRO OESTE,Mato Grosso do Sul,230994,137939
09/2022,NORDESTE,Alagoas,18488,10775
09/2022,NORDESTE,Bahia,23842,25638
09/2022,NORDESTE,Maranhão,2728,20559
09/2022,NORDESTE,Paraíba,18427,40650
09/2022,NORDESTE,Pernambuco,11448,18124
09/2022,NORDESTE,Piauí,894,7110
09/2022,NORDESTE,Rio Grande do Norte,8907,6794
09/2022,NORDESTE,Sergipe,2872,159
09/2022,NORTE,Amazonas,1108,
09/2022,NORTE,Pará,1906,7814
09/2022,NORTE,Tocantins,11062,14056
09/2022,SUDESTE,Espírito Santo,2564,10385
09/2022,SUDESTE,Minas Gerais,228789,186471
09/2022,SUDESTE,Rio de Janeiro,13397,
09/2022,SUDESTE,São Paulo,747731,745227
09/2022,SUL,Paraná,49361,66094
09/2022,SUL,Rio Grande do Sul,1,
08/2022,CENTRO OESTE,Goiás,652407,208582
08/2022,CENTRO OESTE,Mato Grosso,275559,171115
08/2022,CENTRO OESTE,Mato Grosso do Sul,257052,144470
08/2022,NORDESTE,Bahia,25956,27269
08/2022,NORDESTE,Maranhão,2737,21108
08/2022,NORDESTE,Paraíba,9359,30765
08/2022,NORDESTE,Pernambuco,4107,1392
08/2022,NORDESTE,Piauí,1726,7466
08/2022,NORDESTE,Rio Grande do Norte,5188,1708
08/2022,NORTE,Amazonas,772,
08/2022,NORTE,Pará,2054,7130
08/2022,NORTE,Tocantins,14012,16286
08/2022,SUDESTE,Espírito Santo,1695,15232
08/2022,SUDESTE,Minas Gerais,290160,213878
08/2022,SUDESTE,Rio de Janeiro,19605,
08/2022,SUDESTE,São Paulo,1012178,908846
08/2022,SUL,Paraná,60588,79028
07/2022,CENTRO OESTE,Goiás,648001,192068
07/2022,CENTRO OESTE,Mato Grosso,279487,203092
07/2022,CENTRO OESTE,Mato Grosso do Sul,312056,174244
07/2022,NORDESTE,Bahia,34368,22037
07/2022,NORDESTE,Maranhão,2892,21399
07/2022,NORDESTE,Paraíba,2378,3665
07/2022,NORDESTE,Piauí,4409,4019
07/2022,NORTE,Pará,2126,6016
07/2022,NORTE,Tocantins,17102,13902
07/2022,SUDESTE,Espírito Santo,2598,16917
07/2022,SUDESTE,Minas Gerais,277944,216124
07/2022,SUDESTE,Rio de Janeiro,26801,
07/2022,SUDESTE,São Paulo,1145811,982415
07/2022,SUL,Paraná,91956,103313
06/2022,CENTRO OESTE,Goiás,558778,149066
06/2022,CENTRO OESTE,Mato Grosso,249094,187190
06/2022,CENTRO OESTE,Mato Grosso do Sul,249786,144598
06/2022,NORDESTE,Bahia,31351,11969
06/2022,NORDESTE,Maranhão,1474,18081
06/2022,NORDESTE,Piauí,1910,
06/2022,NORTE,Pará,1617,5306
06/2022,NORTE,Tocantins,19435,12549
06/2022,SUDESTE,Espírito Santo,3247,15654
06/2022,SUDESTE,Minas Gerais,255247,180970
06/2022,SUDESTE,Rio de Janeiro,27385,
06/2022,SUDESTE,São Paulo,931671,810273
06/2022,SUL,Paraná,63107,53569
06/2022,SUL,Rio Grande do Sul,1,
05/2022,CENTRO OESTE,Goiás,523939,183521
05/2022,CENTRO OESTE,Mato Grosso,285142,124887
05/2022,CENTRO OESTE,Mato Grosso do Sul,242113,106652
